CVE ID,Title,Description,CVSS v3.1 Score,Vendor,Product,datePublished,Attempted Exploitation,Reference,CWE,CWE-N
CVE-2023-27167,,Suprema BioStar 2 v2.8.16 was discovered to contain a SQL injection vulnerability via the values parameter at /users/absence?search_month=1.,,n/a,n/a,2023-03-29T00:00:00.000Z,yes,5.0,CWE-89,1.0
CVE-2023-27179,,GDidees CMS v3.9.1 and lower was discovered to contain an arbitrary file download vulenrability via the filename parameter at /_admin/imgdownload.php.,,n/a,n/a,2023-04-11T00:00:00.000Z,yes,4.0,CWE-434,1.0
CVE-2023-27253,,A command injection vulnerability in the function restore_rrddata() of Netgate pfSense v2.7.0 allows authenticated attackers to execute arbitrary commands via manipulating the contents of an XML file supplied to the component config.xml.,,n/a,n/a,2023-03-17T00:00:00.000Z,yes,3.0,CWE-91,1.0
CVE-2023-27290,IBM Observability with Instana missing authentication,"Docker based datastores for IBM Instana (IBM Observability with Instana 239-0 through 239-2, 241-0 through 241-2, and 243-0) do not currently require authentication. Due to this, an attacker within the network could access the datastores with read/write access.  IBM X-Force ID:  248737.",9.1,IBM,Observability with Instana,2023-03-03T22:36:06.445Z,yes,3.0,CWE-306,1.0
CVE-2023-27350,,This vulnerability allows remote attackers to bypass authentication on affected installations of PaperCut NG 22.0.5 (Build 63914). Authentication is not required to exploit this vulnerability. The specific flaw exists within the SetupCompleted class. The issue results from improper access control. An attacker can leverage this vulnerability to bypass authentication and execute arbitrary code in the context of SYSTEM. Was ZDI-CAN-18987.,,PaperCut,NG,2023-04-20T00:00:00.000Z,yes,7.0,CWE-284,1.0
CVE-2023-27372,,"SPIP before 4.2.1 allows Remote Code Execution via form values in the public area because serialization is mishandled. The fixed versions are 3.2.18, 4.0.10, 4.1.8, and 4.2.1.",,n/a,n/a,2023-02-28T00:00:00.000Z,yes,6.0,CWE-502,1.0
CVE-2023-2745,,"WordPress Core is vulnerable to Directory Traversal in versions up to, and including, 6.2, via the ‘wp_lang’ parameter. This allows unauthenticated attackers to access and load arbitrary translation files. In cases where an attacker is able to upload a crafted translation file onto the site, such as via an upload form, this could be also used to perform a Cross-Site Scripting attack.",5.4,WordPress Foundation,WordPress,2023-05-17T08:36:44.034Z,yes,6.0,CWE-22,1.0
CVE-2023-27524,Apache Superset: Session validation vulnerability when using provided default SECRET_KEY,"Session Validation attacks in Apache Superset versions up to and including 2.0.1. Installations that have not altered the default configured SECRET_KEY according to installation instructions allow for an attacker to authenticate and access unauthorized resources. This does not affect Superset administrators who have changed the default value for SECRET_KEY config.

All superset installations should always set a unique secure random SECRET_KEY. Your SECRET_KEY is used to securely sign all session cookies and encrypting sensitive information on the database.
Add a strong SECRET_KEY to your `superset_config.py` file like:

SECRET_KEY = <YOUR_OWN_RANDOM_GENERATED_SECRET_KEY>

Alternatively you can set it with `SUPERSET_SECRET_KEY` environment variable.
",8.9,Apache Software Foundation,Apache Superset,2023-04-24T15:28:16.573Z,yes,4.0,CWE-1188,1.0
CVE-2023-27636,,Progress Sitefinity before 15.0.0 allows XSS by authenticated users via the content form in the SF Editor.,,n/a,n/a,2024-06-16T00:00:00,yes,2.0,CWE-79,1.0
CVE-2023-2779,Super Socializer < 7.13.52 - Reflected XSS,"The Social Share, Social Login and Social Comments WordPress plugin before 7.13.52 does not sanitise and escape a parameter before outputting it back in the page, leading to a Reflected Cross-Site Scripting which could be used against high privilege users such as admin.",,Unknown,"Social Share, Social Login and Social Comments Plugin",2023-06-19T10:52:39.566Z,yes,2.0,CWE-79,1.0
CVE-2023-27823,,An authentication bypass in Optoma 1080PSTX C02 allows an attacker to access the administration console without valid credentials.,,n/a,n/a,2023-05-12T00:00:00.000Z,yes,2.0,CWE-287,2.0
CVE-2023-2796,EventON < 2.1.2 - Unauthenticated Event Access,"The EventON WordPress plugin before 2.1.2 lacks authentication and authorization in its eventon_ics_download ajax action, allowing unauthenticated visitors to access private and password protected Events by guessing their numeric id.",,Unknown,EventON,2023-07-10T12:40:07.475Z,yes,2.0,CWE-862,1.0
CVE-2023-29336,Win32k Elevation of Privilege Vulnerability,,7.8,Microsoft,Windows 10 Version 1507,2023-05-09T17:03:03.549Z,yes,2.0,CWE-416,1.0
CVE-2023-29689,,PyroCMS 3.9 contains a remote code execution (RCE) vulnerability that can be exploited through a server-side template injection (SSTI) flaw. This vulnerability allows a malicious attacker to send customized commands to the server and execute arbitrary code on the affected system.,,n/a,n/a,2023-08-04T00:00:00,yes,2.0,CWE-79,1.0
CVE-2023-29809,,SQL injection vulnerability found in Maximilian Vogt companymaps (cmaps) v.8.0 allows a remote attacker to execute arbitrary code via a crafted script in the request.,,n/a,n/a,2023-05-12T00:00:00.000Z,yes,3.0,CWE-89,1.0
CVE-2023-29848,,Bang Resto 1.0 was discovered to contain a stored cross-site scripting (XSS) vulnerability via the itemName parameter in the admin/menu.php Add New Menu function.,,n/a,n/a,2023-04-24T00:00:00.000Z,yes,2.0,CWE-79,1.0
CVE-2023-29849,,"Bang Resto 1.0 was discovered to contain multiple SQL injection vulnerabilities via the btnMenuItemID, itemID, itemPrice, menuID, staffID, or itemqty parameter.",,n/a,n/a,2023-04-24T00:00:00.000Z,yes,2.0,CWE-89,1.0
CVE-2023-29918,,RosarioSIS 10.8.4 is vulnerable to CSV injection via the Periods Module.,,n/a,n/a,2023-05-02T00:00:00.000Z,yes,1.0,CWE-1236,1.0
CVE-2023-29983,,Cross Site Scripting vulnerability found in Maximilian Vogt cmaps v.8.0 allows a remote attacker to execute arbitrary code via the auditlog tab in the admin panel.,,n/a,n/a,2023-05-12T00:00:00.000Z,yes,4.0,CWE-79,1.0
CVE-2023-31067,,An issue was discovered in TSplus Remote Access through 16.0.2.14. There are Full Control permissions for Everyone on some directories under %PROGRAMFILES(X86)%\TSplus\Clients\www.,,n/a,n/a,2023-09-11T00:00:00,yes,2.0,CWE-276,1.0
CVE-2023-31068,,An issue was discovered in TSplus Remote Access through 16.0.2.14. There are Full Control permissions for Everyone on some directories under %PROGRAMFILES(X86)%\TSplus\UserDesktop\themes.,,n/a,n/a,2023-09-11T00:00:00,yes,2.0,CWE-276,1.0
CVE-2023-31069,,An issue was discovered in TSplus Remote Access through 16.0.2.14. Credentials are stored as cleartext within the HTML source code of the login page.,,n/a,n/a,2023-09-11T00:00:00,yes,2.0,CWE-312,1.0
CVE-2023-31468,,"An issue was discovered in Inosoft VisiWin 7 through 2022-2.1 (Runtime RT7.3 RC3 20221209.5). The ""%PROGRAMFILES(X86)%\INOSOFT GmbH"" folder has weak permissions for Everyone, allowing an attacker to insert a Trojan horse file that runs as SYSTEM. 2024-1 is a fixed version.",,n/a,n/a,2023-09-11T00:00:00,yes,7.0,CWE-276,1.0
CVE-2023-31698,,Bludit v3.14.1 is vulnerable to Stored Cross Site Scripting (XSS) via SVG file on site logo. NOTE: the product's security model is that users are trusted by the administrator to insert arbitrary content (users cannot create their own accounts through self-registration).,,n/a,n/a,2023-05-17T00:00:00,yes,4.0,CWE-79,1.0
CVE-2023-31699,,ChurchCRM v4.5.4 is vulnerable to Reflected Cross-Site Scripting (XSS) via image file.,,n/a,n/a,2023-05-17T00:00:00,yes,1.0,CWE-79,1.0
CVE-2023-31702,,SQL injection in the View User Profile in MicroWorld eScan Management Console 14.0.1400.2281 allows remote attacker to dump entire database and gain windows XP command shell to perform code execution on database server via GetUserCurrentPwd?UsrId=1.,,n/a,n/a,2023-05-17T00:00:00,yes,2.0,CWE-89,1.0
CVE-2023-31703,,Cross Site Scripting (XSS) in the edit user form in Microworld Technologies eScan management console 14.0.1400.2281 allows remote attacker to inject arbitrary code via the from parameter.,,n/a,n/a,2023-05-17T00:00:00,yes,2.0,CWE-79,1.0
CVE-2023-31714,,Chitor-CMS before v1.1.2 was discovered to contain multiple SQL injection vulnerabilities.,,n/a,n/a,2023-08-30T00:00:00,yes,4.0,CWE-89,1.0
CVE-2023-31748,,Insecure permissions in MobileTrans v4.0.11 allows attackers to escalate privileges to local admin via replacing the executable file.,,n/a,n/a,2023-05-24T00:00:00.000Z,yes,2.0,CWE-732,1.0
CVE-2023-3184,SourceCodester Sales Tracker Management System cross site scripting,A vulnerability was found in SourceCodester Sales Tracker Management System 1.0. It has been rated as problematic. Affected by this issue is some unknown functionality of the file /classes/Users.php?f=save. The manipulation of the argument firstname/middlename/lastname/username leads to cross site scripting. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-231164.,2.4,SourceCodester,Sales Tracker Management System,2023-06-09T13:00:04.777Z,yes,4.0,CWE-79,1.0
CVE-2023-31873,,"Gin 0.7.4 allows execution of arbitrary code when a crafted file is opened, e.g., via require('child_process').",,n/a,n/a,2023-05-28T00:00:00,yes,1.0,CWE-79,1.0
CVE-2023-31874,,"Yank Note (YN) 3.52.1 allows execution of arbitrary code when a crafted file is opened, e.g., via nodeRequire('child_process').",,n/a,n/a,2023-05-28T00:00:00,yes,1.0,CWE-732,1.0
CVE-2023-32560,,"An attacker can send a specially crafted message to the Wavelink Avalanche Manager, which could result in service disruption or arbitrary code execution.

Thanks to a Researcher at Tenable for finding and reporting.

Fixed in version 6.4.1.",,Ivanti,Avalanche,2023-08-10T19:07:38.628Z,yes,1.0,CWE-787,2.0
CVE-2023-32707,‘edit_user’ Capability Privilege Escalation,"In versions of Splunk Enterprise below 9.0.5, 8.2.11, and 8.1.14, and Splunk Cloud Platform below version 9.0.2303.100, a low-privileged user who holds a role that has the ‘edit_user’ capability assigned to it can escalate their privileges to that of the admin user by providing specially crafted web requests.",8.8,Splunk,Splunk Enterprise,2023-06-01T16:34:30.607Z,yes,2.0,CWE-285,1.0
CVE-2023-32750,,"Pydio Cells through 4.1.2 allows SSRF. For longer running processes, Pydio Cells allows for the creation of jobs, which are run in the background. The job ""remote-download"" can be used to cause the backend to send a HTTP GET request to a specified URL and save the response to a new file. The response file is then available in a user-specified folder in Pydio Cells.",,n/a,n/a,2023-06-08T00:00:00,yes,1.0,CWE-434,1.0
CVE-2023-33131,Microsoft Outlook Remote Code Execution Vulnerability,,8.8,Microsoft,Microsoft Office 2019,2023-06-13T23:26:24.683Z,yes,2.0,CWE-94,1.0
CVE-2023-33137,Microsoft Excel Remote Code Execution Vulnerability,,7.8,Microsoft,Microsoft Office 2019,2023-06-13T23:25:54.885Z,yes,1.0,CWE-415,1.0
CVE-2023-33145,Microsoft Edge (Chromium-based) Information Disclosure Vulnerability,,6.5,Microsoft,Microsoft Edge (Chromium-based),2023-06-13T23:26:29.222Z,yes,2.0,CWE-79,1.0
CVE-2023-33148,Microsoft Office Elevation of Privilege Vulnerability,,7.8,Microsoft,Microsoft Office 2013 Click-to-Run (C2R),2023-07-11T17:02:16.278Z,yes,2.0,CWE-59,1.0
CVE-2023-33243,,"RedTeam Pentesting discovered that the web interface of STARFACE as well as its REST API allows authentication using the SHA512 hash of the password instead of the cleartext password. While storing password hashes instead of cleartext passwords in an application's database generally has become best practice to protect users' passwords in case of a database compromise, this is rendered ineffective when allowing to authenticate using the password hash.",,n/a,n/a,2023-06-15T00:00:00,yes,2.0,CWE-916,1.0
CVE-2023-33383,,Shelly 4PM Pro four-channel smart switch 0.11.0 allows an attacker to trigger a BLE out of bounds read fault condition that results in a device reload.,,n/a,n/a,2023-08-02T00:00:00,yes,2.0,CWE-125,1.0
CVE-2023-33440,,Sourcecodester Faculty Evaluation System v1.0 is vulnerable to arbitrary code execution via /eval/ajax.php?action=save_user.,,n/a,n/a,2023-05-26T00:00:00,yes,2.0,CWE-94,1.0
CVE-2023-33580,,"Phpgurukul Student Study Center Management System V1.0 is vulnerable to Cross Site Scripting (XSS) in the ""Admin Name"" field on Admin Profile page.",,n/a,n/a,2023-06-26T00:00:00,yes,2.0,CWE-79,1.0
CVE-2023-33584,,"Sourcecodester Enrollment System Project V1.0 is vulnerable to SQL Injection (SQLI) attacks, which allow an attacker to manipulate the SQL queries executed by the application. The application fails to properly validate user-supplied input in the username and password fields during the login process, enabling an attacker to inject malicious SQL code.",,n/a,n/a,2023-06-21T00:00:00,yes,3.0,CWE-89,1.0
CVE-2023-33592,,Lost and Found Information System v1.0 was discovered to contain a SQL injection vulnerability via the component /php-lfis/admin/?page=system_info/contact_information.,,n/a,n/a,2023-06-28T00:00:00,yes,3.0,CWE-89,1.0
CVE-2023-33829,,A stored cross-site scripting (XSS) vulnerability in Cloudogu GmbH SCM Manager v1.2 to v1.60 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the Description text field.,,n/a,n/a,2023-05-24T00:00:00,yes,2.0,CWE-79,1.0
CVE-2023-34096,Thruk has Path Traversal Vulnerability in panorama.pm,"Thruk is a multibackend monitoring webinterface which currently supports Naemon, Icinga, Shinken and Nagios as backends. In versions 3.06 and prior, the file `panorama.pm` is vulnerable to a Path Traversal vulnerability which allows an attacker to upload a file to any folder which has write permissions on the affected system. The parameter location is not filtered, validated or sanitized and it accepts any kind of characters. For a path traversal attack, the only characters required were the dot (`.`) and the slash (`/`). A fix is available in version 3.06.2.",6.5,sni,Thruk,2023-06-08T18:59:51.787Z,yes,3.0,CWE-22,1.0
CVE-2023-34581,,Sourcecodester Service Provider Management System v1.0 is vulnerable to SQL Injection via the ID parameter in /php-spms/?page=services/view&id=2,,n/a,n/a,2023-06-12T00:00:00,yes,4.0,CWE-89,1.0
CVE-2023-34635,,Wifi Soft Unibox Administration 3.0 and 3.1 is vulnerable to SQL Injection. The vulnerability occurs because of not validating or sanitizing the user input in the username field of the login page.,,n/a,n/a,2023-07-31T00:00:00,yes,2.0,CWE-89,1.0
CVE-2023-34723,,"An issue was discovered in TechView LA-5570 Wireless Gateway 1.0.19_T53, allows attackers to gain sensitive information via /config/system.conf.",,n/a,n/a,2023-08-25T00:00:00,yes,3.0,CWE-59,1.0
CVE-2023-34834,,"A Directory Browsing vulnerability in MCL-Net version 4.3.5.8788 webserver running on default port 5080, allows attackers to gain sensitive information about the configured databases via the ""/file"" endpoint.",,n/a,n/a,2023-06-29T00:00:00,yes,2.0,CWE-552,1.0
CVE-2023-34927,,Casdoor v1.331.0 and below was discovered to contain a Cross-Site Request Forgery (CSRF) in the endpoint /api/set-password. This vulnerability allows attackers to arbitrarily change the victim user's password via supplying a crafted URL.,,n/a,n/a,2023-06-22T00:00:00,yes,3.0,CWE-352,1.0
CVE-2023-36163,,Cross Site Scripting vulnerability in IP-DOT BuildaGate v.BuildaGate5 allows a remote attacker to execute arbitrary code via a crafted script to the mc parameter of the URL.,,n/a,n/a,2023-07-11T00:00:00.000Z,yes,2.0,CWE-79,1.0
CVE-2023-36165,,,,,,,,,,
CVE-2023-36166,,,,,,,,,,
CVE-2023-36167,,,,,,,,,,
CVE-2023-36266,,"An issue was discovered in Keeper Password Manager for Desktop version 16.10.2, and the KeeperFill Browser Extensions version 16.5.4, allows local attackers to gain sensitive information via plaintext password storage in memory after the user is already logged in, and may persist after logout. NOTE: the vendor disputes this for two reasons: the information is inherently available during a logged-in session when the attacker can read from arbitrary memory locations, and information only remains available after logout because of memory-management limitations of web browsers (not because the Keeper technology itself is retaining the information).",,n/a,n/a,2023-07-12T00:00:00,yes,2.0,CWE-522,1.0
CVE-2023-36306,,"A Cross Site Scripting (XSS) vulnerability in Adiscon Aiscon LogAnalyzer through 4.1.13 allows a remote attacker to execute arbitrary code via the asktheoracle.php, details.php, index.php, search.php, export.php, reports.php, and statistics.php components.",,n/a,n/a,2023-08-08T00:00:00,yes,1.0,CWE-79,1.0
CVE-2023-36346,,POS Codekop v2.0 was discovered to contain a reflected cross-site scripting (XSS) vulnerability via the nm_member parameter at print.php.,,n/a,n/a,2023-06-23T00:00:00,yes,3.0,CWE-79,1.0
CVE-2023-36348,,POS Codekop v2.0 was discovered to contain an authenticated remote code execution (RCE) vulnerability via the filename parameter.,,n/a,n/a,2023-06-23T00:00:00,yes,3.0,CWE-862,1.0
CVE-2023-36355,,TP-Link TL-WR940N V4 was discovered to contain a buffer overflow via the ipStart parameter at /userRpm/WanDynamicIpV6CfgRpm. This vulnerability allows attackers to cause a Denial of Service (DoS) via a crafted GET request.,,n/a,n/a,2023-06-22T00:00:00,yes,2.0,CWE-120,1.0
CVE-2023-37269,Winter CMS vulnerable to stored XSS through privileged upload of SVG file,"Winter is a free, open-source content management system (CMS) based on the Laravel PHP framework. Users with the `backend.manage_branding` permission can upload SVGs as the application logo. Prior to version 1.2.3, SVG uploads were not sanitized, which could have allowed a stored cross-site scripting (XSS) attack. To exploit the vulnerability, an attacker would already need to have developer or super user level permissions in Winter CMS. This means they would already have extensive access and control within the system. Additionally, to execute the XSS, the attacker would need to convince the victim to directly visit the URL of the maliciously uploaded SVG, and the application would have to be using local storage where uploaded files are served under the same domain as the application itself instead of a CDN. This is because all SVGs in Winter CMS are rendered through an `img` tag, which prevents any payloads from being executed directly. These two factors significantly limit the potential harm of this vulnerability. This issue has been patched in v1.2.3 through the inclusion of full support for SVG uploads and automatic sanitization of uploaded SVG files. As a workaround, one may apply the patches manually.",2,wintercms,winter,2023-07-07T21:19:38.971Z,yes,5.0,CWE-79,1.0
CVE-2023-37569,OS Command Injection Vulnerability in Emagic Data Center Management Suite,"This vulnerability exists in ESDS Emagic Data Center Management Suit due to lack of input sanitization in its Ping component. A remote authenticated attacker could exploit this by injecting OS commands on the targeted system.

Successful exploitation of this vulnerability could allow the attacker to execute arbitrary code on targeted system.",8.8,ESDS,Emagic Data Center Management Suite,2023-08-08T08:04:22.979Z,yes,2.0,CWE-78,1.0
CVE-2023-37629,,"Online Piggery Management System 1.0 is vulnerable to File Upload. An unauthenticated user can upload a php file by sending a POST request to ""add-pig.php.""",,n/a,n/a,2023-07-12T00:00:00,yes,3.0,CWE-434,1.0
CVE-2023-37979,WordPress Ninja Forms Plugin <= 3.6.25 is vulnerable to Cross Site Scripting (XSS),Unauth. Reflected Cross-Site Scripting (XSS) vulnerability in Saturday Drive Ninja Forms Contact Form plugin <= 3.6.25 versions.,7.1,Saturday Drive,Ninja Forms Contact Form,2023-07-27T14:08:06.204Z,yes,3.0,CWE-79,1.0
